Fecha,gasolina,diesel
20-1,1.31,1.24
20-2,1.29,1.2
20-3,1.21,1.11
20-4,1.1,1.01
20-5,1.08,0.99
20-6,1.12,1.02
20-7,1.16,1.05
20-8,1.16,1.06
20-9,1.16,1.03
20-10,1.15,1.02
20-11,1.15,1.02
20-12,1.18,1.06
21-1,1.21,1.09
21-2,1.25,1.14
21-3,1.31,1.18
21-4,1.32,1.18
21-5,1.34,1.2
21-6,1.37,1.23
21-7,1.4,1.26
21-8,1.41,1.26
21-9,1.43,1.28
21-10,1.48,1.35
21-11,1.51,1.38
21-12,1.48,1.34
22-1,1.51,1.38
22-2,1.58,1.47
22-3,1.79,1.76
22-4,1.80,1.83
22-5,1.91,1.88
22-6,2.11,2.03
22-7,2,1.97
22-8,1.81,1.84
22-9,1.71,1.86
